year,month,day,speciesKey,genus,species,latitude,longitude,countryCode
2002,8,4,2974564,Olneya,tesota,32.25829,-111.2058,US
2002,8,4,2974564,Olneya,tesota,32.25829,-111.2058,US
2013,12,30,2974564,Olneya,tesota,30.885385,-114.761522,MX
2013,6,26,2974564,Olneya,tesota,33.138647,-116.38759400000001,US
2023,2,20,2974564,Olneya,tesota,33.023375,-114.617753,US
2023,2,20,2974564,Olneya,tesota,33.020558,-114.604037,US
2023,2,28,2974564,Olneya,tesota,33.200572,-116.260184,US
2023,2,19,2974564,Olneya,tesota,33.035742,-114.675403,US
2023,2,26,2974564,Olneya,tesota,32.359488,-111.467238,US
2023,3,5,2974564,Olneya,tesota,32.455998,-111.447526,US
2023,2,20,2974564,Olneya,tesota,33.0133,-114.602903,US
2023,2,26,2974564,Olneya,tesota,32.367253,-111.457213,US
2023,2,27,2974564,Olneya,tesota,33.874088,-112.162933,US
2023,2,20,2974564,Olneya,tesota,33.017435,-114.603678,US
2023,2,28,2974564,Olneya,tesota,34.018508,-113.939072,US
2023,2,18,2974564,Olneya,tesota,33.664412,-111.976925,US
2023,3,3,2974564,Olneya,tesota,33.609842,-112.520522,US
2023,2,4,2974564,Olneya,tesota,31.306203,-115.352135,MX
2023,2,26,2974564,Olneya,tesota,32.364662,-111.46132,US
2023,2,20,2974564,Olneya,tesota,33.021822,-114.604183,US
2023,3,3,2974564,Olneya,tesota,33.601912,-111.81069,US
2023,2,20,2974564,Olneya,tesota,33.020847,-114.607065,US
2023,3,3,2974564,Olneya,tesota,32.281227,-111.18357,US
2023,3,2,2974564,Olneya,tesota,30.516236,-114.678333,MX
2023,2,28,2974564,Olneya,tesota,33.986122,-114.002517,US
2023,2,2,2974564,Olneya,tesota,33.120136,-111.555053,US
2023,3,2,2974564,Olneya,tesota,30.882348,-114.745165,MX
2023,2,26,2974564,Olneya,tesota,32.367012,-111.456933,US
2023,2,20,2974564,Olneya,tesota,33.013193,-114.624262,US
2023,2,27,2974564,Olneya,tesota,33.874408,-112.165511,US
2023,2,27,2974564,Olneya,tesota,33.874305,-112.165725,US
2023,2,19,2974564,Olneya,tesota,33.029372,-114.637133,US
2023,2,20,2974564,Olneya,tesota,33.0138,-114.611847,US
2023,3,5,2974564,Olneya,tesota,33.69077,-115.80237,US
2023,2,20,2974564,Olneya,tesota,33.012358,-114.611832,US
2023,2,3,2974564,Olneya,tesota,33.12582,-111.549063,US
2023,2,19,2974564,Olneya,tesota,33.036827,-114.674038,US
2023,3,5,2974564,Olneya,tesota,33.690703,-115.802407,US
2023,2,19,2974564,Olneya,tesota,33.026843,-114.639618,US
2023,2,19,2974564,Olneya,tesota,33.027975,-114.639672,US
2023,3,3,2974564,Olneya,tesota,33.611362,-112.530608,US
2023,3,3,2974564,Olneya,tesota,32.261142,-111.211862,US
2023,2,20,2974564,Olneya,tesota,33.01344,-114.602818,US
2023,2,26,2974564,Olneya,tesota,32.359172,-111.464897,US
2023,2,26,2974564,Olneya,tesota,32.359455,-111.465897,US
2023,2,27,2974564,Olneya,tesota,33.364017,-111.982444,US
2023,2,26,2974564,Olneya,tesota,32.359395,-111.465538,US
2023,2,26,2974564,Olneya,tesota,32.359705,-111.465813,US
2023,2,26,2974564,Olneya,tesota,32.35915,-111.464553,US
2023,2,26,2974564,Olneya,tesota,32.359283,-111.465963,US
2022,11,23,2974564,Olneya,tesota,34.471808,-113.637662,US
2023,2,19,2974564,Olneya,tesota,33.029272,-114.638739,US
2023,2,26,2974564,Olneya,tesota,32.359463,-111.465963,US
2023,2,26,2974564,Olneya,tesota,32.359088,-111.464425,US
2023,2,11,2974564,Olneya,tesota,33.577757,-115.921657,US
2023,2,26,2974564,Olneya,tesota,32.359713,-111.465645,US
2023,2,26,2974564,Olneya,tesota,32.35968,-111.466675,US
2023,2,26,2974564,Olneya,tesota,32.358967,-111.464813,US
2023,2,26,2974564,Olneya,tesota,32.359317,-111.465637,US
2023,2,27,2974564,Olneya,tesota,33.876647,-112.164428,US
2023,1,22,2974564,Olneya,tesota,33.448769,-113.037889,US
2023,2,26,2974564,Olneya,tesota,32.35912,-111.465417,US
2023,2,26,2974564,Olneya,tesota,32.359403,-111.464242,US
2023,2,26,2974564,Olneya,tesota,32.358753,-111.464737,US
2023,2,24,2974564,Olneya,tesota,33.35831,-112.049711,US
2023,2,26,2974564,Olneya,tesota,32.35933,-111.46508,US
2023,2,21,2974564,Olneya,tesota,25.790054,-111.311077,MX
2023,2,26,2974564,Olneya,tesota,32.359547,-111.465592,US
2023,2,26,2974564,Olneya,tesota,32.359642,-111.46463,US
2023,2,19,2974564,Olneya,tesota,31.943688,-112.813893,US
2022,11,22,2974564,Olneya,tesota,34.28821,-113.626095,US
2023,2,11,2974564,Olneya,tesota,33.82922,-111.992553,US
2023,2,26,2974564,Olneya,tesota,32.35965,-111.466758,US
2023,2,26,2974564,Olneya,tesota,32.358963,-111.464578,US
2023,2,26,2974564,Olneya,tesota,32.359225,-111.46408,US
2023,2,11,2974564,Olneya,tesota,33.82372,-111.987975,US
2023,2,19,2974564,Olneya,tesota,33.020603,-114.688556,US
2023,2,26,2974564,Olneya,tesota,32.359087,-111.464797,US
2016,11,26,2974564,Olneya,tesota,33.74186,-114.28919,US
2023,2,18,2974564,Olneya,tesota,33.554172,-111.876608,US
2023,2,14,2974564,Olneya,tesota,32.038356,-112.716933,US
2022,11,30,2974564,Olneya,tesota,24.096988,-110.475641,MX
2023,2,19,2974564,Olneya,tesota,33.589537,-112.507805,US
2019,11,2,2974564,Olneya,tesota,33.625601,-115.324115,US
2022,12,7,2974564,Olneya,tesota,33.367287,-111.988062,US
2023,2,19,2974564,Olneya,tesota,33.557012,-111.56288,US
2022,11,10,2974564,Olneya,tesota,33.363475,-111.985917,US
2023,2,14,2974564,Olneya,tesota,32.012744,-112.711105,US
2019,4,1,2974564,Olneya,tesota,32.33944,-110.981591,US
2022,2,22,2974564,Olneya,tesota,32.258137,-111.151206,US
2023,2,16,2974564,Olneya,tesota,33.84721,-116.564691,US
2020,2,3,2974564,Olneya,tesota,32.233863,-111.066369,US
2019,10,13,2974564,Olneya,tesota,25.866935,-111.545415,MX
2020,9,13,2974564,Olneya,tesota,33.586716,-115.931796,US
2023,2,8,2974564,Olneya,tesota,33.366957,-112.370277,US
2023,2,12,2974564,Olneya,tesota,33.277653,-116.425963,US
2023,2,8,2974564,Olneya,tesota,33.357662,-112.36871,US
2023,2,10,2974564,Olneya,tesota,33.374255,-112.381988,US
2023,2,8,2974564,Olneya,tesota,33.367895,-112.370018,US
2019,4,26,2974564,Olneya,tesota,29.072967,-110.955919,MX
2018,2,11,2974564,Olneya,tesota,32.285605,-111.187455,US
2018,2,10,2974564,Olneya,tesota,32.260463,-111.208038,US
2020,2,3,2974564,Olneya,tesota,32.232845,-111.067817,US
2017,12,30,2974564,Olneya,tesota,32.296437,-111.098961,US
2017,7,19,2974564,Olneya,tesota,32.429317,-111.361017,US
2017,5,3,2974564,Olneya,tesota,32.373938,-111.051628,US
2018,3,11,2974564,Olneya,tesota,32.38803,-111.520325,US
2017,12,7,2974564,Olneya,tesota,32.289703,-111.110558,US
2017,2,23,2974564,Olneya,tesota,32.256022,-111.050217,US
2018,3,10,2974564,Olneya,tesota,32.370433,-111.050439,US
2018,5,20,2974564,Olneya,tesota,33.768365,-112.151939,US
2018,3,11,2974564,Olneya,tesota,32.406417,-111.557167,US
2017,7,28,2974564,Olneya,tesota,32.529342,-111.449495,US
2017,7,19,2974564,Olneya,tesota,32.444367,-111.427597,US
2022,11,19,2974564,Olneya,tesota,32.444988,-111.098126,US
2018,3,18,2974564,Olneya,tesota,32.366363,-111.049339,US
2017,10,29,2974564,Olneya,tesota,32.30099,-111.088308,US
2018,1,23,2974564,Olneya,tesota,32.329362,-111.105475,US
2018,1,23,2974564,Olneya,tesota,32.337028,-111.105705,US
2017,12,6,2974564,Olneya,tesota,32.395728,-111.064322,US
2017,12,6,2974564,Olneya,tesota,32.393745,-111.0633,US
2017,5,18,2974564,Olneya,tesota,33.939043,-111.709062,US
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2018,3,18,2974564,Olneya,tesota,32.366375,-111.054847,US
2020,5,15,2974564,Olneya,tesota,32.627328,-115.990989,MX
2018,2,16,2974564,Olneya,tesota,32.284547,-111.2182,US
2022,10,18,2974564,Olneya,tesota,33.585072,-111.79138,US
2018,3,10,2974564,Olneya,tesota,32.37362,-111.051972,US
2022,12,13,2974564,Olneya,tesota,33.611802,-114.774081,US
2018,2,18,2974564,Olneya,tesota,32.378688,-111.488333,US
2018,2,11,2974564,Olneya,tesota,32.219458,-111.144944,US
2018,2,10,2974564,Olneya,tesota,32.24828,-111.214378,US
2017,7,24,2974564,Olneya,tesota,32.365728,-111.304245,US
2018,10,23,2974564,Olneya,tesota,32.370667,-111.140114,US
2018,3,11,2974564,Olneya,tesota,32.405937,-111.551628,US
2018,2,17,2974564,Olneya,tesota,32.376708,-111.480842,US
2018,2,10,2974564,Olneya,tesota,32.262088,-111.2099,US
2023,1,18,2974564,Olneya,tesota,24.180237,-110.624405,MX
2017,11,9,2974564,Olneya,tesota,32.323158,-111.184085,US
2017,7,19,2974564,Olneya,tesota,32.444375,-111.405792,US
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2018,3,25,2974564,Olneya,tesota,32.398413,-111.019944,US
2018,1,15,2974564,Olneya,tesota,32.378825,-111.165658,US
2022,3,15,2974564,Olneya,tesota,26.770771,-111.877073,MX
2022,2,19,2974564,Olneya,tesota,32.290123,-111.208181,US
2018,3,11,2974564,Olneya,tesota,32.412995,-111.55918,US
2021,2,5,2974564,Olneya,tesota,33.797653,-114.538349,US
2018,2,11,2974564,Olneya,tesota,32.222667,-111.145186,US
2018,2,10,2974564,Olneya,tesota,32.258208,-111.205605,US
2017,11,2,2974564,Olneya,tesota,32.271728,-111.040169,US
2022,4,30,2974564,Olneya,tesota,33.167322,-111.638098,US
2018,10,23,2974564,Olneya,tesota,32.37143,-111.140083,US
2018,3,11,2974564,Olneya,tesota,32.385447,-111.513467,US
2018,3,18,2974564,Olneya,tesota,32.366372,-111.047553,US
2018,3,9,2974564,Olneya,tesota,32.401305,-111.046944,US
2018,2,11,2974564,Olneya,tesota,32.26908,-111.215837,US
2020,7,18,2974564,Olneya,tesota,33.896887,-114.810455,US
2019,1,31,2974564,Olneya,tesota,33.681112,-115.80103,US
2018,2,18,2974564,Olneya,tesota,32.383312,-111.492958,US
2022,1,4,2974564,Olneya,tesota,32.325905,-111.12468,US
2018,12,20,2974564,Olneya,tesota,33.45665,-111.962869,US
2018,3,25,2974564,Olneya,tesota,32.382462,-111.04615,US
2018,2,11,2974564,Olneya,tesota,32.221683,-111.156778,US
2018,2,10,2974564,Olneya,tesota,32.268108,-111.218138,US
2017,12,6,2974564,Olneya,tesota,32.388317,-111.069711,US
2021,5,2,2974564,Olneya,tesota,29.133908,-110.95305,MX
2018,3,25,2974564,Olneya,tesota,32.383125,-111.046653,US
2017,12,6,2974564,Olneya,tesota,32.385412,-111.099992,US
2017,12,6,2974564,Olneya,tesota,32.409838,-111.063178,US
2017,10,26,2974564,Olneya,tesota,32.252383,-111.061797,US
2018,2,11,2974564,Olneya,tesota,32.248225,-111.215653,US
2021,8,14,2974564,Olneya,tesota,33.617033,-114.902554,US
2018,2,28,2974564,Olneya,tesota,32.243145,-111.06568,US
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2019,11,7,2974564,Olneya,tesota,29.134928,-110.872863,MX
2018,2,18,2974564,Olneya,tesota,32.378942,-111.4889,US
2018,2,10,2974564,Olneya,tesota,32.231513,-111.145417,US
2017,7,19,2974564,Olneya,tesota,32.224353,-111.167572,US
2018,3,11,2974564,Olneya,tesota,32.443462,-111.556922,US
2018,3,25,2974564,Olneya,tesota,32.40105,-111.018539,US
2018,1,16,2974564,Olneya,tesota,32.364697,-111.072036,US
2017,7,19,2974564,Olneya,tesota,32.391762,-111.372125,US
2022,4,30,2974564,Olneya,tesota,33.167322,-111.638098,US
2018,2,18,2974564,Olneya,tesota,32.384737,-111.494155,US
2018,2,11,2974564,Olneya,tesota,32.223622,-111.144683,US
2022,10,18,2974564,Olneya,tesota,33.61249,-115.051195,US
2018,4,27,2974564,Olneya,tesota,32.229467,-111.062783,US
2018,2,11,2974564,Olneya,tesota,32.215417,-111.125878,US
2022,10,24,2974564,Olneya,tesota,33.606534,-115.080106,US
2022,5,1,2974564,Olneya,tesota,33.358675,-111.996828,US
2023,2,5,2974564,Olneya,tesota,31.250264,-115.299789,MX
2020,5,19,2974564,Olneya,tesota,32.33944,-110.981591,US
2018,3,21,2974564,Olneya,tesota,32.269355,-111.022064,US
2018,2,10,2974564,Olneya,tesota,32.277292,-111.213045,US
2018,1,31,2974564,Olneya,tesota,32.233667,-111.066636,US
2018,1,16,2974564,Olneya,tesota,32.383903,-111.080208,US
2018,3,24,2974564,Olneya,tesota,32.41097,-111.01718,US
2018,2,17,2974564,Olneya,tesota,32.375562,-111.447455,US
2019,2,26,2974564,Olneya,tesota,33.681697,-115.80095,US
2018,3,25,2974564,Olneya,tesota,32.399967,-111.018914,US
2018,1,23,2974564,Olneya,tesota,32.327095,-111.105461,US
2015,11,29,2974564,Olneya,tesota,32.242205,-111.059533,US
2020,7,1,2974564,Olneya,tesota,32.254345,-111.043189,US
2018,3,11,2974564,Olneya,tesota,32.474217,-111.541192,US
2018,3,11,2974564,Olneya,tesota,32.409747,-111.55922,US
2017,12,6,2974564,Olneya,tesota,32.393587,-111.07598,US
2023,2,4,2974564,Olneya,tesota,31.298319,-115.354386,MX
2018,2,17,2974564,Olneya,tesota,32.377742,-111.483375,US
2017,12,30,2974564,Olneya,tesota,32.296363,-111.098983,US
2017,7,19,2974564,Olneya,tesota,32.44448,-111.427278,US
2017,7,19,2974564,Olneya,tesota,32.229145,-111.168638,US
2018,3,10,2974564,Olneya,tesota,32.36847,-111.050797,US
2018,2,18,2974564,Olneya,tesota,32.35778,-111.472808,US
2022,9,23,2974564,Olneya,tesota,28.796172,-111.916275,MX
2018,1,23,2974564,Olneya,tesota,32.331337,-111.105505,US
2017,7,28,2974564,Olneya,tesota,32.529412,-111.44918,US
2018,5,20,2974564,Olneya,tesota,33.772901,-112.249583,US
2018,3,25,2974564,Olneya,tesota,32.384067,-111.046311,US
2018,3,18,2974564,Olneya,tesota,32.379508,-110.99677200000001,US
2018,3,11,2974564,Olneya,tesota,32.406417,-111.557167,US
2018,2,11,2974564,Olneya,tesota,32.214838,-111.129922,US
2018,2,10,2974564,Olneya,tesota,32.270672,-111.217125,US
2018,1,23,2974564,Olneya,tesota,32.333022,-111.105561,US
2019,2,17,2974564,Olneya,tesota,33.656423,-115.804132,US
2018,2,11,2974564,Olneya,tesota,32.270962,-111.205247,US
2022,5,10,2974564,Olneya,tesota,33.461841,-111.944635,US
2017,7,19,2974564,Olneya,tesota,32.446553,-111.416292,US
2019,4,27,2974564,Olneya,tesota,28.827652,-111.904607,MX
2017,11,7,2974564,Olneya,tesota,34.052534,-112.145867,US
2022,6,15,2974564,Olneya,tesota,32.254597,-111.197205,US
2018,9,7,2974564,Olneya,tesota,29.201544,-112.046257,MX
2022,7,12,2974564,Olneya,tesota,32.56314,-115.942096,MX
2021,6,6,2974564,Olneya,tesota,28.935459,-111.263288,MX
2018,2,10,2974564,Olneya,tesota,32.267395,-111.215575,US
2018,2,10,2974564,Olneya,tesota,32.286563,-111.208533,US
2018,2,16,2974564,Olneya,tesota,32.324787,-111.2182,US
2017,12,30,2974564,Olneya,tesota,32.297867,-111.096275,US
2022,1,4,2974564,Olneya,tesota,32.326,-111.123742,US
2017,12,6,2974564,Olneya,tesota,32.388283,-111.080117,US
2018,1,23,2974564,Olneya,tesota,32.332355,-111.105522,US
2021,3,27,2974564,Olneya,tesota,33.603028,-112.255613,US
2017,12,19,2974564,Olneya,tesota,32.23703,-111.062722,US
2018,3,9,2974564,Olneya,tesota,32.402583,-111.062194,US
2018,2,18,2974564,Olneya,tesota,32.369612,-111.455763,US
2018,2,10,2974564,Olneya,tesota,32.282883,-111.210572,US
2017,7,22,2974564,Olneya,tesota,32.387108,-111.021461,US
2018,2,10,2974564,Olneya,tesota,32.262387,-111.210197,US
2021,4,11,2974564,Olneya,tesota,32.264386,-111.028336,US
2018,3,11,2974564,Olneya,tesota,32.479328,-111.53,US
2018,1,16,2974564,Olneya,tesota,32.369428,-111.080811,US
2015,12,22,2974564,Olneya,tesota,33.543702,-116.266487,US
2018,2,16,2974564,Olneya,tesota,32.32692,-111.218187,US
2017,12,6,2974564,Olneya,tesota,32.399313,-111.063286,US
2017,10,26,2974564,Olneya,tesota,32.256255,-111.044075,US
2018,2,10,2974564,Olneya,tesota,32.264958,-111.21322,US
2022,5,2,2974564,Olneya,tesota,33.341467,-111.898603,US
2019,3,9,2974564,Olneya,tesota,33.329632,-112.105492,US
2018,2,18,2974564,Olneya,tesota,32.378342,-111.491263,US
2018,2,10,2974564,Olneya,tesota,32.221353,-111.123519,US
2018,3,11,2974564,Olneya,tesota,32.387945,-111.520295,US
2018,2,10,2974564,Olneya,tesota,32.287167,-111.203362,US
2021,3,25,2974564,Olneya,tesota,33.681917,-115.800848,US
2022,11,21,2974564,Olneya,tesota,33.675489,-115.801359,US
2022,11,18,2974564,Olneya,tesota,33.886262,-112.090661,US
2020,5,19,2974564,Olneya,tesota,32.33944,-110.981591,US
2018,3,10,2974564,Olneya,tesota,32.367558,-111.053925,US
2019,4,28,2974564,Olneya,tesota,29.071071,-110.925902,MX
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2018,10,23,2974564,Olneya,tesota,32.372305,-111.140105,US
2018,4,27,2974564,Olneya,tesota,32.232758,-111.062736,US
2018,3,25,2974564,Olneya,tesota,32.399167,-111.019303,US
2017,12,6,2974564,Olneya,tesota,32.404647,-111.063286,US
2018,2,16,2974564,Olneya,tesota,32.284953,-111.218192,US
2018,2,10,2974564,Olneya,tesota,32.230247,-111.1445,US
2018,2,11,2974564,Olneya,tesota,32.285142,-111.187813,US
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2020,10,11,2974564,Olneya,tesota,33.384493,-111.895154,US
2018,3,18,2974564,Olneya,tesota,32.366372,-111.047705,US
2022,5,1,2974564,Olneya,tesota,33.343783,-112.070553,US
2022,4,30,2974564,Olneya,tesota,33.451125,-111.947148,US
2018,2,18,2974564,Olneya,tesota,32.378322,-111.494247,US
2017,7,19,2974564,Olneya,tesota,32.386262,-111.36985,US
2016,3,15,2974564,Olneya,tesota,32.228946,-110.962896,US
2022,11,17,2974564,Olneya,tesota,32.456851,-111.097682,US
2020,12,10,2974564,Olneya,tesota,33.636872,-115.990728,US
2019,4,25,2974564,Olneya,tesota,32.333197,-111.105583,US
2018,3,25,2974564,Olneya,tesota,32.403388,-111.014978,US
2017,7,19,2974564,Olneya,tesota,32.226395,-111.141542,US
2017,11,23,2974564,Olneya,tesota,32.266262,-111.08248,US
2018,1,31,2974564,Olneya,tesota,32.228633,-111.076155,US
2017,12,30,2974564,Olneya,tesota,32.297783,-111.094453,US
2023,2,4,2974564,Olneya,tesota,31.339542,-115.350678,MX
2022,11,19,2974564,Olneya,tesota,32.439763,-111.105026,US
2022,11,19,2974564,Olneya,tesota,32.444459,-111.098204,US
2022,8,7,2974564,Olneya,tesota,33.399429,-111.794563,US
2018,1,23,2974564,Olneya,tesota,32.33083,-111.105514,US
2017,10,26,2974564,Olneya,tesota,32.2559,-111.042283,US
2021,9,23,2974564,Olneya,tesota,32.290037,-111.107192,US
2018,3,25,2974564,Olneya,tesota,32.382862,-111.046714,US
2018,2,11,2974564,Olneya,tesota,32.275567,-111.198417,US
2017,12,6,2974564,Olneya,tesota,32.403947,-111.063278,US
2017,12,6,2974564,Olneya,tesota,32.395404,-111.075543,US
2018,2,18,2974564,Olneya,tesota,32.378338,-111.491403,US
2018,2,10,2974564,Olneya,tesota,32.25998,-111.207572,US
2017,10,3,2974564,Olneya,tesota,32.387913,-111.012847,US
2017,5,24,2974564,Olneya,tesota,32.245147,-111.049392,US
2020,5,10,2974564,Olneya,tesota,32.225903,-111.029114,US
2018,2,11,2974564,Olneya,tesota,32.22185,-111.153167,US
2018,3,25,2974564,Olneya,tesota,32.398303,-111.020028,US
2022,5,1,2974564,Olneya,tesota,33.458067,-111.617977,US
2022,5,1,2974564,Olneya,tesota,33.71911,-111.697405,US
2022,3,1,2974564,Olneya,tesota,33.702904,-115.298616,US
2018,3,9,2974564,Olneya,tesota,32.406187,-111.047455,US
2018,2,18,2974564,Olneya,tesota,32.367895,-111.458755,US
2018,2,11,2974564,Olneya,tesota,32.220562,-111.147055,US
2017,10,29,2974564,Olneya,tesota,32.302995,-111.104989,US
2022,10,9,2974564,Olneya,tesota,32.577807,-115.686064,MX
2019,2,3,2974564,Olneya,tesota,33.63168,-115.887617,US
2018,10,23,2974564,Olneya,tesota,32.36802,-111.140083,US
2018,10,23,2974564,Olneya,tesota,32.37277,-111.140122,US
2018,2,28,2974564,Olneya,tesota,32.243287,-111.065675,US
2022,4,10,2974564,Olneya,tesota,31.27213,-115.315848,MX
2018,10,23,2974564,Olneya,tesota,32.373087,-111.140022,US
2018,3,11,2974564,Olneya,tesota,32.474655,-111.53972,US
2018,3,11,2974564,Olneya,tesota,32.410367,-111.559395,US
2018,1,16,2974564,Olneya,tesota,32.384037,-111.080253,US
2021,5,2,2974564,Olneya,tesota,28.584368,-110.700942,MX
2019,2,3,2974564,Olneya,tesota,33.620762,-115.910347,US
2017,10,26,2974564,Olneya,tesota,32.256262,-111.042044,US
2018,3,25,2974564,Olneya,tesota,32.398153,-111.019889,US
2017,9,8,2974564,Olneya,tesota,32.841928,-111.234642,US
2018,2,11,2974564,Olneya,tesota,32.223147,-111.1445,US
2022,5,2,2974564,Olneya,tesota,33.341467,-111.898603,US
2018,10,23,2974564,Olneya,tesota,32.373188,-111.139839,US
2018,1,16,2974564,Olneya,tesota,32.363997,-111.072053,US
2017,7,19,2974564,Olneya,tesota,32.429317,-111.380433,US
2021,3,25,2974564,Olneya,tesota,33.681185,-115.800573,US
2022,11,19,2974564,Olneya,tesota,32.444036,-111.097823,US
2018,3,25,2974564,Olneya,tesota,32.381692,-111.046258,US
2022,4,30,2974564,Olneya,tesota,33.167322,-111.638098,US
2018,3,11,2974564,Olneya,tesota,32.451595,-111.551187,US
2018,3,11,2974564,Olneya,tesota,32.479775,-111.529747,US
2022,11,19,2974564,Olneya,tesota,32.446217,-111.098006,US
2021,3,19,2974564,Olneya,tesota,32.457046,-111.460675,US
2020,12,8,2974564,Olneya,tesota,33.658362,-112.915766,US
2022,3,4,2974564,Olneya,tesota,33.800313,-115.29131,US
2022,4,30,2974564,Olneya,tesota,33.167322,-111.638098,US
2018,3,9,2974564,Olneya,tesota,32.373245,-111.052911,US
2017,11,7,2974564,Olneya,tesota,33.949724,-112.137444,US
2022,5,1,2974564,Olneya,tesota,33.538652,-112.185987,US
2021,6,29,2974564,Olneya,tesota,32.386405,-111.021758,US
2021,2,6,2974564,Olneya,tesota,33.838085,-114.692645,US
2022,11,15,2974564,Olneya,tesota,28.640135,-113.547102,MX
2022,11,8,2974564,Olneya,tesota,32.346779,-111.094529,US
2022,4,18,2974564,Olneya,tesota,29.12177,-110.941445,MX
2018,3,11,2974564,Olneya,tesota,32.448375,-111.555503,US
2018,2,11,2974564,Olneya,tesota,32.221225,-111.138436,US
2018,2,11,2974564,Olneya,tesota,32.221297,-111.123055,US
2018,2,11,2974564,Olneya,tesota,32.221333,-111.146003,US
2017,12,6,2974564,Olneya,tesota,32.403305,-111.063269,US
2018,5,16,2974564,Olneya,tesota,32.321708,-111.072189,US
2017,10,26,2974564,Olneya,tesota,32.256428,-111.041961,US
2018,1,23,2974564,Olneya,tesota,32.335792,-111.105667,US
2017,5,2,2974564,Olneya,tesota,32.617405,-111.253853,US
2020,2,3,2974564,Olneya,tesota,32.223945,-111.094719,US
2018,2,18,2974564,Olneya,tesota,32.335337,-111.188713,US
2017,7,19,2974564,Olneya,tesota,32.3872,-111.369505,US
2021,8,21,2974564,Olneya,tesota,29.14317,-110.951088,MX
2020,12,8,2974564,Olneya,tesota,33.688286,-112.895609,US
2018,10,25,2974564,Olneya,tesota,32.337567,-111.107492,US
2018,3,18,2974564,Olneya,tesota,32.250358,-111.046019,US
2019,3,9,2974564,Olneya,tesota,33.329666,-112.105594,US
2017,10,26,2974564,Olneya,tesota,32.25593,-111.042258,US
2017,7,28,2974564,Olneya,tesota,32.529362,-111.449387,US
2022,4,30,2974564,Olneya,tesota,33.167322,-111.638098,US
2018,2,18,2974564,Olneya,tesota,32.378087,-111.490958,US
2018,1,23,2974564,Olneya,tesota,32.329588,-111.105492,US
2022,10,31,2974564,Olneya,tesota,33.665863,-115.868561,US
2018,2,16,2974564,Olneya,tesota,32.285042,-111.218147,US
2017,5,2,2974564,Olneya,tesota,32.626475,-111.209162,US
2023,2,5,2974564,Olneya,tesota,32.318314,-115.413595,MX
2022,9,29,2974564,Olneya,tesota,29.097978,-110.380875,MX
2022,2,15,2974564,Olneya,tesota,33.88942,-112.669762,US
2022,5,2,2974564,Olneya,tesota,33.341467,-111.898603,US
2022,2,17,2974564,Olneya,tesota,33.519279,-111.663416,US
2018,2,16,2974564,Olneya,tesota,32.290987,-111.218163,US
2019,2,26,2974564,Olneya,tesota,33.68147,-115.800125,US
2018,2,18,2974564,Olneya,tesota,32.357738,-111.472747,US
2017,5,3,2974564,Olneya,tesota,32.423155,-111.128625,US
2018,1,31,2974564,Olneya,tesota,32.235833,-111.062272,US
2022,3,15,2974564,Olneya,tesota,28.594412,-113.400575,MX
2018,1,16,2974564,Olneya,tesota,32.369545,-111.081208,US
2017,8,22,2974564,Olneya,tesota,32.287128,-111.10968,US
2012,4,5,2974564,Olneya,tesota,33.418269,-111.933997,US
2018,1,23,2974564,Olneya,tesota,32.33628,-111.105667,US
2021,9,23,2974564,Olneya,tesota,32.289692,-111.110214,US
2018,3,25,2974564,Olneya,tesota,32.383912,-111.04608,US
2018,2,17,2974564,Olneya,tesota,32.370412,-111.407822,US
2018,2,10,2974564,Olneya,tesota,32.270962,-111.218155,US
2018,1,31,2974564,Olneya,tesota,32.236063,-111.0616,US
2005,1,1,2974564,Olneya,tesota,25.680377,-111.922062,MX
2018,2,10,2974564,Olneya,tesota,32.224197,-111.135292,US
2018,2,11,2974564,Olneya,tesota,32.21963,-111.141822,US
2017,12,6,2974564,Olneya,tesota,32.392117,-111.063308,US
2018,3,9,2974564,Olneya,tesota,32.409828,-111.05838,US
2017,12,30,2974564,Olneya,tesota,32.297863,-111.095725,US
2017,12,6,2974564,Olneya,tesota,32.388325,-111.063553,US
2017,12,19,2974564,Olneya,tesota,32.236063,-111.061378,US
2017,5,2,2974564,Olneya,tesota,32.613895,-111.23472,US
2020,5,13,2974564,Olneya,tesota,33.745363,-112.217385,US
2018,2,16,2974564,Olneya,tesota,32.287117,-111.218178,US
2018,2,16,2974564,Olneya,tesota,32.3236,-111.218138,US
2018,2,10,2974564,Olneya,tesota,32.287688,-111.19555,US
2017,5,2,2974564,Olneya,tesota,32.607937,-111.248092,US
2023,1,28,2974564,Olneya,tesota,33.681188,-115.801848,US
2018,9,5,2974564,Olneya,tesota,29.201336,-111.979299,MX
2018,3,25,2974564,Olneya,tesota,32.38332,-111.046539,US
2018,3,11,2974564,Olneya,tesota,32.384067,-111.5132,US
2018,2,18,2974564,Olneya,tesota,32.359092,-111.469308,US
2018,2,11,2974564,Olneya,tesota,32.221703,-111.128769,US
2018,1,16,2974564,Olneya,tesota,32.369787,-111.0812,US
2017,9,26,2974564,Olneya,tesota,32.269087,-110.812928,US
